review_id,cluster_k2,Sentiment,region,dist_to_own_centroid,margin,n_words
bn_0244,0,1,A_organic,0.82024264,0.0067284107,21
bn_0245,1,1,A_organic,1.0372146,0.10440755,5
bn_0246,0,1,A_organic,0.6685217,0.06568545,4
bn_0247,0,1,A_organic,0.69871855,0.09325147,7
bn_0248,0,1,A_organic,0.6094415,0.17002863,9
bn_0249,0,1,A_organic,0.7476516,0.069698036,16
bn_0250,0,1,A_organic,0.7090835,0.09924567,30
bn_0251,1,1,A_organic,0.9068772,0.023429751,7
bn_0252,1,1,A_organic,0.80384785,0.07084501,4
bn_0253,1,1,A_organic,0.8449424,0.05577445,5
bn_0254,0,1,A_organic,0.82010204,0.061455846,20
bn_0255,0,1,A_organic,0.69071186,0.09117013,10
bn_0256,0,1,A_organic,0.8035232,0.09430432,13
bn_0257,0,1,A_organic,0.67438895,0.0657087,3
bn_0258,0,1,A_organic,0.7412596,0.09661716,22
bn_0259,0,1,A_organic,0.7152081,0.06450635,6
bn_0260,0,1,A_organic,0.71226096,0.16014147,22
bn_0261,0,1,A_organic,0.671717,0.13291794,4
bn_0262,0,1,A_organic,0.7322504,0.11452001,14
bn_0263,1,1,A_organic,0.8341869,0.06414956,8
bn_0264,1,1,A_organic,0.96831816,0.086321056,4
bn_0265,0,1,A_organic,0.64515305,0.17996484,12
bn_0266,1,1,A_organic,0.91809815,0.06909311,4
bn_0267,0,1,A_organic,0.64922076,0.12752712,3
bn_0268,1,1,A_organic,0.9035445,0.040652335,19
bn_0269,1,1,A_organic,0.9219236,0.027665079,10
bn_0270,0,1,A_organic,0.78917694,0.056153476,23
bn_0271,0,1,A_organic,0.72821474,0.09071922,15
bn_0272,1,1,A_organic,0.9520884,0.101548254,17
bn_0273,0,1,A_organic,0.8967011,0.0065206885,22
bn_0274,0,1,A_organic,0.7132883,0.09937161,8
bn_0275,0,1,A_organic,0.68556273,0.09939325,10
bn_0276,0,1,A_organic,0.73936886,0.098112285,11
bn_0277,1,1,A_organic,0.9988159,0.050149918,12
bn_0278,1,1,A_organic,0.9193193,0.050070286,20
bn_0279,0,1,A_organic,0.71728194,0.0507735,4
bn_0280,0,1,A_organic,0.75157356,0.12002593,13
bn_0281,0,1,A_organic,0.7642927,0.011832058,25
bn_0282,1,1,A_organic,0.80194706,0.035543144,7
bn_0283,0,1,A_organic,0.71540916,0.10614377,10
bn_0284,0,1,A_organic,0.8250006,0.026465178,22
bn_0285,0,1,A_organic,0.73811644,0.097079694,12
bn_0286,0,1,A_organic,0.8273935,0.08384138,12
bn_0287,0,1,A_organic,0.81481475,0.0806669,8
bn_0288,0,1,A_organic,0.7863548,0.05005145,10
bn_0289,0,1,A_organic,0.7224917,0.104727864,12
bn_0290,0,1,A_organic,0.7240586,0.096616626,3
bn_0292,0,1,A_organic,0.6615189,0.11376178,4
