review_id,cluster_k2,Sentiment,region,dist_to_own_centroid,margin,n_words
bn_2033,0,2,B_uniform,0.7213395,0.015058279,7
bn_2034,1,2,B_uniform,0.6474547,0.06765461,10
bn_2035,0,2,B_uniform,0.77006626,0.077949524,7
bn_2036,1,2,B_uniform,0.6287003,0.058963,8
bn_2037,1,2,B_uniform,0.64976245,0.073289394,7
bn_2038,1,2,B_uniform,0.64112175,0.067611456,10
bn_2039,0,2,B_uniform,0.66905457,0.049181163,7
bn_2040,0,2,B_uniform,0.6718264,0.020018995,8
bn_2041,1,2,B_uniform,0.7034302,0.050255835,7
bn_2042,1,2,B_uniform,0.7044433,0.08805245,10
bn_2043,1,2,B_uniform,0.7165537,0.09410548,9
bn_2044,0,2,B_uniform,0.6670083,0.08134651,7
bn_2045,1,2,B_uniform,0.67402405,0.04375136,7
bn_2046,0,2,B_uniform,0.86141735,0.08654618,10
bn_2047,0,2,B_uniform,0.80390215,0.057233334,7
bn_2048,1,2,B_uniform,0.68919694,0.07434398,11
bn_2049,0,2,B_uniform,0.78186774,0.060996056,6
bn_2050,1,2,B_uniform,0.79302263,0.0021809936,8
bn_2051,0,2,B_uniform,0.7750405,0.03532499,7
bn_2052,1,2,B_uniform,0.8019127,0.081902444,5
bn_2053,0,2,B_uniform,0.7289916,0.07574648,6
bn_2054,1,2,B_uniform,0.7612967,0.07361084,9
bn_2055,0,2,B_uniform,0.8906623,0.022120178,6
bn_2056,1,2,B_uniform,0.71273005,0.070598304,7
bn_2057,0,2,B_uniform,0.8182958,0.016846538,8
bn_2058,1,2,B_uniform,0.61455697,0.056211293,9
bn_2059,0,2,B_uniform,0.9204647,0.013200939,5
bn_2060,0,2,B_uniform,0.7071926,0.08683133,7
bn_2061,1,2,B_uniform,0.61549956,0.07453054,7
bn_2062,1,2,B_uniform,0.6193936,0.0728814,8
bn_2063,0,2,B_uniform,0.6727194,0.079048276,6
bn_2064,1,2,B_uniform,0.6819302,0.0838989,8
bn_2065,0,2,B_uniform,0.7217235,0.07605016,5
bn_2066,1,2,B_uniform,0.63988554,0.0929631,8
bn_2067,0,2,B_uniform,0.8399386,0.026255965,8
bn_2068,0,2,B_uniform,0.81211585,0.061040103,6
bn_2069,0,2,B_uniform,0.90677255,0.034986913,5
bn_2070,0,2,B_uniform,0.76572776,0.017363489,7
bn_2071,1,2,B_uniform,0.80563354,0.0569458,7
bn_2072,1,2,B_uniform,0.73143727,0.06783801,8
bn_2073,0,2,B_uniform,0.98823065,0.047031343,8
bn_2074,0,2,B_uniform,0.7174072,0.074276805,10
bn_2075,0,2,B_uniform,0.7583097,0.08528656,5
bn_2076,1,2,B_uniform,0.66602266,0.08995485,7
bn_2077,1,2,B_uniform,0.7495056,0.118946016,6
bn_2078,1,2,B_uniform,0.6442654,0.09435183,9
bn_2079,1,2,B_uniform,0.7541296,0.050827026,9
bn_2080,1,2,B_uniform,0.6859681,0.04988551,8
bn_2081,1,2,B_uniform,0.7441642,0.009770155,10
bn_2082,1,2,B_uniform,0.7261691,0.031021297,7
bn_2083,1,2,B_uniform,0.6075622,0.0473395,10
bn_2084,0,2,B_uniform,0.74673235,0.047673225,7
bn_2085,1,2,B_uniform,0.6708635,0.08716214,9
bn_2086,1,2,B_uniform,0.62765795,0.074820936,8
bn_2087,1,2,B_uniform,0.6742107,0.020026326,8
bn_2088,0,2,B_uniform,1.0382953,0.021243095,6
bn_2089,1,2,B_uniform,0.6614873,0.07657969,8
bn_2090,0,2,B_uniform,0.71659607,0.04425907,6
bn_2091,0,2,B_uniform,0.7290667,0.04278916,10
bn_2092,1,2,B_uniform,0.73905784,0.00353086,10
bn_2093,1,2,B_uniform,0.5352792,0.055445552,8
bn_2094,1,2,B_uniform,0.7764521,0.020734668,9
bn_2095,1,2,B_uniform,0.72438174,0.07601082,8
bn_2096,1,2,B_uniform,0.62809044,0.08599651,8
bn_2097,0,2,B_uniform,0.71689206,0.029078424,7
bn_2098,0,2,B_uniform,0.7703679,0.03439498,8
bn_2099,1,2,B_uniform,0.6771643,0.091532886,8
bn_2100,1,2,B_uniform,0.6408311,0.06904811,7
bn_2101,0,2,B_uniform,0.72759455,0.0426358,8
bn_2102,1,2,B_uniform,0.7222132,0.06318313,11
bn_2103,1,2,B_uniform,0.6501345,0.06544471,7
bn_2104,0,2,B_uniform,0.77740884,0.01658994,9
bn_2105,0,2,B_uniform,0.7037191,0.0074775815,7
bn_2106,1,2,B_uniform,0.6510755,0.07580453,6
bn_2107,1,2,B_uniform,0.6221184,0.09884101,8
bn_2108,0,2,B_uniform,0.6975926,0.03044051,7
bn_2109,0,2,B_uniform,0.70098966,0.037287295,7
bn_2110,1,2,B_uniform,0.6064696,0.07933462,9
bn_2111,0,2,B_uniform,0.79158115,0.04885316,5
bn_2112,1,2,B_uniform,0.7197915,0.026561022,8
bn_2113,1,2,B_uniform,0.6391665,0.046937168,7
bn_2114,0,2,B_uniform,0.7687376,0.060171783,8
bn_2115,1,2,B_uniform,0.6664012,0.07573742,8
bn_2116,1,2,B_uniform,0.7810468,0.01862967,6
bn_2117,0,2,B_uniform,0.78191864,0.03937596,6
bn_2118,1,2,B_uniform,0.7528482,0.08401418,7
bn_2119,0,2,B_uniform,0.70351565,0.008597136,7
bn_2120,1,2,B_uniform,0.67088836,0.034936547,9
bn_2121,0,2,B_uniform,0.82002515,0.06431723,7
bn_2122,1,2,B_uniform,0.6931479,0.08045477,8
bn_2123,1,2,B_uniform,0.5966501,0.036243856,8
bn_2124,0,2,B_uniform,0.8530609,0.026358068,7
bn_2125,1,2,B_uniform,0.6944965,0.078264475,11
bn_2126,0,2,B_uniform,0.73435384,0.080801964,5
bn_2127,0,2,B_uniform,0.8800128,0.030297041,8
bn_2128,1,2,B_uniform,0.69555503,0.008100867,7
bn_2129,0,2,B_uniform,0.60481036,0.073930204,7
bn_2130,0,2,B_uniform,0.7281351,0.06915939,7
bn_2131,1,2,B_uniform,0.64025235,0.118077576,6
bn_2132,0,2,B_uniform,0.75992614,0.031276464,8
bn_2133,1,2,B_uniform,0.6766857,0.018082023,8
bn_2134,0,2,B_uniform,0.7802528,0.019577503,8
bn_2135,1,2,B_uniform,0.6323295,0.08286756,9
bn_2136,1,2,B_uniform,0.6623959,0.032856703,6
bn_2137,0,2,B_uniform,0.69845325,0.09626591,6
bn_2138,0,2,B_uniform,0.8128565,0.023273885,6
bn_2139,0,2,B_uniform,0.8910641,0.06669617,5
bn_2140,1,2,B_uniform,0.70888555,0.08758205,7
bn_2141,1,2,B_uniform,0.65272284,0.101658285,6
bn_2142,0,2,B_uniform,0.71507317,0.029201627,5
bn_2143,1,2,B_uniform,0.8888406,0.00295645,6
bn_2144,0,2,B_uniform,0.7520419,0.071487784,8
bn_2145,0,2,B_uniform,0.77580345,0.014390886,7
bn_2146,1,2,B_uniform,0.68357587,0.062461436,5
bn_2147,1,2,B_uniform,0.66762036,0.06616306,8
bn_2148,0,2,B_uniform,0.7812077,0.05660695,6
