word,count_c0,count_c1,log_odds_delta,z
সবার,14,5,0.2066664640222129,0.41076335050099677
আসে,6,2,0.2708135044906328,0.34408761548072037
যায়।,6,2,0.2708135044906328,0.34408761548072037
প্রকাশ,6,2,0.2708135044906328,0.34408761548072037
কতো,6,2,0.2708135044906328,0.34408761548072037
বাংলাদেশে,6,2,0.2708135044906328,0.34408761548072037
যাই,6,2,0.2708135044906328,0.34408761548072037
ছুঁয়ে,6,2,0.2708135044906328,0.34408761548072037
ভুলে,6,2,0.2708135044906328,0.34408761548072037
অতি,6,2,0.2708135044906328,0.34408761548072037
বেদের,6,2,0.2708135044906328,0.34408761548072037
থাকা,6,2,0.2708135044906328,0.34408761548072037
হলেও,6,2,0.2708135044906328,0.34408761548072037
পেলাম,6,2,0.2708135044906328,0.34408761548072037
আসলো,6,2,0.2708135044906328,0.34408761548072037
তে,11,4,0.18980706564081995,0.3364679046374836
চোখ,11,4,0.18980706564081995,0.3364679046374836
আরও,11,4,0.18980706564081995,0.3364679046374836
গেল।,11,4,0.18980706564081995,0.3364679046374836
হয়েছে,18,7,0.12704827932946472,0.2947353508416464
আরো,18,7,0.12704827932946472,0.2947353508416464
গ্রাম,8,3,0.1610134258917828,0.24597586860800225
শিক্ষা,8,3,0.1610134258917828,0.24597586860800225
আগে,15,6,0.10060216686507495,0.21507511516105654
ধরনের,10,4,0.10057026420964021,0.1755524078623487
